2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  5,000,000đ
2023-04-18 20:21:06 | 123456 |  TRANSACTION | -500,000,000đ |  491,277,800đ
2023-04-18 20:21:32 | 123456 |  TRANSACTION | -486,000,000đ |      417,800đ
2023-04-18 20:21:46 | 123456 |  TRANSACTION |     -300,000đ |      114,800đ
2023-04-18 20:44:55 | 123456 |         LOAN |       10,000đ |      124,700đ
2023-04-18 22:03:31 | 123456 |      SAVINGS |      100,000đ |      224,700đ
2023-04-18 22:05:36 | 123456 |      SAVINGS |      100,000đ |      324,700đ
2023-04-18 22:09:02 | 123456 |  TRANSACTION |     -200,000đ |      122,700đ
2023-04-18 22:16:23 | 123456 |         LOAN |      100,000đ |      221,700đ
2023-04-18 22:17:56 | 123456 |         LOAN |      100,000đ |      320,700đ
2023-04-18 22:18:35 | 123456 |         LOAN |      100,000đ |      419,700đ
2023-04-18 22:19:08 | 123456 |         LOAN |      100,000đ |      518,700đ
2023-04-18 22:19:57 | 123456 |      SAVINGS |      100,000đ |      618,700đ
2023-04-18 22:20:28 | 123456 |      SAVINGS |      100,000đ |      718,700đ
2023-04-19 15:20:23 | 123456 |  TRANSACTION |     -500,000đ |      213,700đ
2023-04-19 16:40:15 | 123456 |         LOAN |            0đ |      213,700đ
2023-04-19 16:42:10 | 123456 |         LOAN |      100,000đ |      312,700đ
2023-04-19 16:42:22 | 123456 |      SAVINGS |       10,000đ |      322,700đ
2023-04-19 16:42:33 | 123456 |  TRANSACTION |     -100,000đ |      221,700đ
2023-04-19 16:46:12 | 123456 |  TRANSACTION |     -100,000đ |      120,700đ
2023-04-19 16:48:30 | 123456 |  TRANSACTION |      -50,000đ |       70,200đ
2023-04-19 16:49:08 | 123456 |      SAVINGS |      200,000đ |      270,200đ
2023-04-19 16:50:09 | 123456 |  TRANSACTION |      -50,000đ |      219,700đ
2023-04-19 16:50:41 | 123456 |  TRANSACTION |     -100,000đ |      118,700đ
2023-04-19 19:44:04 | 123456 |  TRANSACTION |      -50,000đ |       68,200đ
2023-04-19 19:49:36 | 123456 |  TRANSACTION |            0đ |       68,200đ
2023-04-19 19:50:13 | 123456 |      SAVINGS |    1,000,000đ |    1,068,200đ
2023-04-19 19:51:37 | 123456 |  TRANSACTION |      -50,000đ |    1,017,700đ
2023-04-19 20:16:11 | 123456 |  TRANSACTION |     -100,000đ |      916,700đ
2023-04-19 20:17:22 | 123456 |  TRANSACTION |     -100,000đ |      815,700đ
2023-04-19 20:18:06 | 123456 |  TRANSACTION |     -100,000đ |      714,700đ
2023-04-19 20:20:18 | 123456 |  TRANSACTION |     -100,000đ |      613,700đ
2023-04-19 20:27:00 | 123456 |         LOAN |      100,000đ |      712,700đ
2023-04-19 20:31:49 | 123456 |  TRANSACTION |     -100,000đ |      611,700đ
2023-04-19 20:32:27 | 123456 |  TRANSACTION |     -100,000đ |      510,700đ
2023-04-19 20:36:47 | 123456 |  TRANSACTION |     -100,000đ |      409,700đ
2023-04-19 20:38:13 | 123456 |  TRANSACTION |     -100,000đ |      308,700đ
2023-04-20 08:33:21 | 123456 |      SAVINGS |      100,000đ |      408,700đ
2023-04-20 08:33:31 | 123456 |  TRANSACTION |     -100,000đ |      307,700đ
2023-04-20 09:06:40 | 123456 |  TRANSACTION |     -100,000đ |      206,700đ
2023-04-20 09:33:46 | 123456 |         LOAN |       10,000đ |      216,600đ
2023-04-20 09:33:59 | 123456 |      SAVINGS |      200,000đ |      416,600đ
2023-04-20 09:34:16 | 123456 |  TRANSACTION |     -100,000đ |      315,600đ
2023-04-20 09:53:55 | 123456 |  TRANSACTION |      -50,000đ |      265,100đ
2023-04-20 09:58:11 | 123456 |      SAVINGS |      200,000đ |      465,100đ
2023-04-20 19:34:30 | 123456 |      SAVINGS |       30,000đ |      495,100đ
2023-04-21 09:22:11 | 123456 |         LOAN |       10,000đ |      505,000đ
2023-04-23 22:41:08 | 123456 |         LOAN |      100,000đ |      604,000đ
2023-04-23 22:41:18 | 123456 |      SAVINGS |      200,000đ |      804,000đ
2023-04-23 22:41:38 | 123456 |  TRANSACTION |      -50,000đ |      753,500đ
2023-04-24 09:40:41 | 123456 |         LOAN |      250,000đ |    1,001,000đ
2023-04-24 09:42:22 | 123456 |  TRANSACTION |      -60,000đ |      940,400đ
2023-04-24 09:58:32 | 123456 |         LOAN |      100,000đ |    1,039,400đ
2023-04-24 11:11:32 | 123456 |         LOAN |      200,000đ |    1,237,400đ
2023-04-24 11:11:59 | 123456 |  TRANSACTION |     -200,000đ |    1,035,400đ
2023-04-24 11:13:44 | 123456 |  TRANSACTION |            0đ |    1,035,400đ
2023-04-24 11:14:56 | 123456 |         LOAN |       10,000đ |    1,045,300đ
2023-04-24 16:36:57 | 123456 |         LOAN |       10,000đ |    1,055,200đ
2023-04-24 16:39:10 | 123456 |      SAVINGS |      100,000đ |    1,155,200đ
2023-04-24 19:43:31 | 123456 |         LOAN |      100,000đ |    1,254,200đ
2023-04-25 10:41:15 | 123456 |         LOAN |    5,000,000đ |    6,204,200đ
2023-04-25 10:49:55 | 123456 |  TRANSACTION |     -300,000đ |    5,901,200đ
